title,country,mbfc_page,bias_raw,Factual,Ideology,url
Alliance for Justice (AFJ),USA,left,left8,High,L,https://www.afj.org/
Act.TV,USA,left,left4,MostlyFactual,L,http://act.tv
ACHNews,USA,left,left8,MostlyFactual,L,https://achnews.org/
AlterNet,USA,left,left2,Mixed,L,https://www.alternet.org/
Al DIA,USA,left,left4,Mixed,L,https://aldianews.com
Aftonbladet,Sweden,left,left9,Mixed,L,https://www.aftonbladet.se
Alt News,India,left,left10,High,L,https://www.altnews.in
Amandla,South Africa,left,left7,High,L,http://aidc.org.za/amandla-media/
ANX Media (American News X),USA,left,left3,Mixed,L,http://anx.media/
American Bridge 21st Century,USA,left,left5,Mixed,L,https://americanbridgepac.org/
Angry White Men,USA,left,left9,Mixed,L,https://angrywhitemen.org
American Oversight,USA,left,left7,Mixed,L,https://www.americanoversight.org
AmericaBlog,USA,left,left7,High,L,http://americablog.com/
Americans United for Separation of Church and State,,left,left12,High,L,https://www.au.org/
AutoStraddle,,left,left7,High,L,https://www.autostraddle.com/
Baltimore City Paper,USA,left,left9,Mixed,L,https://www.baltimoresun.com/citypaper/
Bitch Media,,left,left8,High,L,https://bitchmedia.org/
Being Liberal,USA,left,left3,Mixed,L,https://www.facebook.com/pg/beingliberal.org
Anti Fascist News,USA,left,left12,Mixed,L,https://antifascistnews.net/
Bay Area Reporter,USA,left,left12,High,L,https://www.ebar.com/
Black Agenda Report,USA,left,left1,MostlyFactual,L,https://blackagendareport.com/
Black Lives Matter,USA,left,left9,MostlyFactual,L,https://blacklivesmatter.com
Boing Boing,USA,left,left7,Mixed,L,https://boingboing.net
Black America Web,USA,left,left8,MostlyFactual,L,https://blackamericaweb.com/
Black Main Street,USA,left,left5,MostlyFactual,L,https://blackmainstreet.net/
Bust Magazine,USA,left,left7,MostlyFactual,L,https://bust.com
Blue State Daily,USA,left,left2,Mixed,L,https://bluestatedaily.com
Boston Review,USA,left,left11,High,L,http://bostonreview.net
Capital & Main,USA,left,left10,High,L,https://capitalandmain.com
Canada Fact Check,Canada,left,left5,MostlyFactual,L,https://canadafactcheck.ca
Canadian Dimension,Canada,left,left3,MostlyFactual,L,https://canadiandimension.com/
Care2,USA,left,left3,Mixed,L,https://www.care2.com
Center for Media and Democracy (PR Watch),USA,left,left8,High,L,https://www.prwatch.org/
Center for American Progress,USA,left,left7,MostlyFactual,L,https://www.americanprogress.org/
Ceasefire Magazine,UK,left,left7,High,L,https://ceasefiremagazine.co.uk/
China Internet Information Center,China,left,left8,Mixed,L,http://www.china.org.cn/
Chronicles of Democracy,,left,left8,High,L,https://www.chroniclesofdemocracy.com/
The Chicago Reporter,USA,left,left8,High,L,https://www.chicagoreporter.com/
Center for a Stateless Society,USA,left,left1,High,L,https://c4ss.org/
